,Rate,pr,Scenario,Ensemble_member,Order
0,0.04050213416162435,3.641717832042234e-05,ssp119,r1i1p1f2,1
1,0.034760011100373404,3.6434116832398537e-05,ssp119,r2i1p1f2,1
2,0.04145779530288411,3.6378163249879316e-05,ssp119,r3i1p1f2,1
3,0.06266286601275266,3.63886322393089e-05,ssp119,r4i1p1f2,1
4,0.046890049403780464,3.63965144988765e-05,ssp119,r8i1p1f2,1
17,0.04434811013062797,3.63477317888821e-05,ssp126,r9i1p1f2,2
16,0.04347446469286203,3.638001174288387e-05,ssp126,r8i1p1f2,2
15,0.04848936427030016,3.638231534222917e-05,ssp126,r4i1p1f2,2
14,0.04333199921084745,3.6404483066603624e-05,ssp126,r3i1p1f2,2
12,0.046557960901760884,3.638228504847544e-05,ssp126,r1i1p1f2,2
11,0.029843225743563698,3.642751717039261e-05,ssp126,r19i1p1f2,2
13,0.03927956630690728,3.641914252956205e-05,ssp126,r2i1p1f2,2
9,0.04512285076063477,3.639019182056045e-05,ssp126,r17i1p1f2,2
8,0.041746305745309346,3.639080761418697e-05,ssp126,r16i1p1f2,2
7,0.0654205829264397,3.6371588835777014e-05,ssp126,r12i1p1f2,2
6,0.04361018083031662,3.638899454347575e-05,ssp126,r11i1p1f2,2
5,0.03987380481563109,3.634853900583136e-05,ssp126,r10i1p1f2,2
10,0.031045878437186702,3.639911995298545e-05,ssp126,r18i1p1f2,2
49,0.04795918965223697,3.6278198755967624e-05,ssp434,r8i1p1f2,3
48,0.05927251644445675,3.627112623918956e-05,ssp434,r4i1p1f2,3
47,0.03544616474396456,3.625008988853904e-05,ssp434,r3i1p1f2,3
46,0.04861669372924645,3.622969912755546e-05,ssp434,r2i1p1f2,3
45,0.055638176332581,3.6221326710125056e-05,ssp434,r1i1p1f2,3
29,0.04280008334259755,3.6297872975758035e-05,ssp245,r8i1p1f2,4
31,0.05702930597213299,3.6304085403872576e-05,ssp245,r13i1p1f2,4
30,0.058887351267742014,3.6275944153430575e-05,ssp245,r9i1p1f2,4
28,0.05149165027989505,3.6288914005246253e-05,ssp245,r4i1p1f2,4
27,0.037270782740717386,3.6300653325843926e-05,ssp245,r3i1p1f2,4
26,0.06124862566271669,3.629155321500341e-05,ssp245,r2i1p1f2,4
25,0.04502907964494935,3.63133327143824e-05,ssp245,r1i1p1f2,4
24,0.03584944346968981,3.6316436328679956e-05,ssp245,r19i1p1f2,4
23,0.04337819327232056,3.6300171637465635e-05,ssp245,r18i1p1f2,4
18,0.05246710319558097,3.633573110710549e-05,ssp245,r10i1p1f2,4
19,0.06681984266266333,3.628651270239081e-05,ssp245,r11i1p1f2,4
20,0.06106501085876631,3.632613802447788e-05,ssp245,r12i1p1f2,4
21,0.04259802848807467,3.631043372467099e-05,ssp245,r16i1p1f2,4
22,0.043943258432639326,3.634055162438374e-05,ssp245,r17i1p1f2,4
44,0.05093476666966639,3.620105040013412e-05,ssp370,r9i1p1f2,5
43,0.03827688112851039,3.6247017498237526e-05,ssp370,r8i1p1f2,5
42,0.047674388958748266,3.624914651908654e-05,ssp370,r4i1p1f2,5
41,0.03967690773731402,3.624277345384844e-05,ssp370,r3i1p1f2,5
39,0.05337884343977106,3.625083971134445e-05,ssp370,r1i1p1f2,5
38,0.04782777160168704,3.620310003176626e-05,ssp370,r19i1p1f2,5
37,0.0400706127904391,3.626293783958346e-05,ssp370,r18i1p1f2,5
36,0.045721167866073796,3.626976579677626e-05,ssp370,r17i1p1f2,5
35,0.03861863388959482,3.6211124716883925e-05,ssp370,r16i1p1f2,5
34,0.06400866062275112,3.623877432407374e-05,ssp370,r12i1p1f2,5
33,0.04825190007712424,3.621395122826235e-05,ssp370,r11i1p1f2,5
32,0.0471621563099552,3.624120081600437e-05,ssp370,r10i1p1f2,5
40,0.05077023524970616,3.6225616692083426e-05,ssp370,r2i1p1f2,5
53,0.06823755917306817,3.6297817984564836e-05,ssp585,r4i1p1f2,6
50,0.05944275049241835,3.631613794129186e-05,ssp585,r1i1p1f2,6
51,0.05256096543845802,3.6280433697424644e-05,ssp585,r2i1p1f2,6
52,0.04543975955733306,3.6279322590915294e-05,ssp585,r3i1p1f2,6
54,0.04380536812827669,3.627365543254514e-05,ssp585,r8i1p1f2,6
